"airport_code","raw_labels","airport_name","country","associated_city","candidate_latitude","candidate_longitude","candidate_label","osm_type","osm_id","category","result_type","address_type","source","review_status","notes"
"ASR","ASR Flug.","Kayseri Erkilet Airport","Turkey","Göreme","38.7734753","35.4946849","Kayseri Erkilet Airport, 338, Mustafa Kemal Paşa Bulvarı, Hilal Mahallesi, Kocasinan, Kayseri, Central Anatolia Region, 38100, Turkey","way","86096191","military","airfield","military","OpenStreetMap Nominatim","approved",""
"BBU","BBU Flug.","Aurel Vlaicu International Airport","Romania","Bucharest","44.5002921","26.0902283","Aurel Vlaicu International Airport, 40, Șoseaua București-Ploiești, Băneasa, Sector 1, Bucharest, 013695, Romania","way","84575254","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"BCN","BCN Flug.","Barcelona-El Prat Airport","Spain","Barcelona","41.2969440","2.0790474","Barcelona El Prat Josep Tarradellas Airport, Carrer d'Antoine de Saint-Exupéry, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain","way","314726876","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"BER","BER Flug.","Berlin Brandenburg Airport","Germany","Berlin","52.3657974","13.4888906","Berlin Brandenburg Airport ""Willy Brandt"", Melli-Beese-Ring, Schönefeld, Schenkendorf-Krummensee, Dahme-Spreewald, Brandenburg, 12529, Germany","way","859790021","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"BGY","BGY Flug.","Milan Bergamo Airport","Italy","Milan","45.6708936","9.6987542","Bergamo Orio al Serio Airport, 13, Via Aeroporto, Betosca, Orio al Serio, Bergamo, Lombardy, 24050, Italy","way","74362857","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"BUD","BUD Flug.","Budapest Ferenc Liszt International Airport","Hungary","Budapest","47.4352730","19.2535106","Budapest Liszt Ferenc International Airport, Nagy-Hangács köz, Nagyhangács, Rákoshegy, 17th district, Budapest, Central Hungary, 1174, Hungary","relation","2798244","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"CIA","CIA Flug.","Rome Ciampino Airport","Italy","Rome","41.7995470","12.5912711","Rome Ciampino Airport, Via dei Laghi, Ciampino, Roma Capitale, Lazio, 00043, Italy","way","22875465","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"DUB","DUB Flug.|DUB. Flug.","Dublin Airport","Ireland","Dublin","53.4282916","-6.2472741","Dublin Airport, Swords Road, Airport ED, Dublin, Fingal, County Dublin, Leinster, K67 P957, Ireland","relation","10150161","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"FCO","FCO Flug.","Leonardo da Vinci Fiumicino Airport","Italy","Rome","41.8153911","12.2264848","Rome–Fiumicino Airport, Via Leonardo da Vinci, Fiumicino, Roma Capitale, Lazio, 00054, Italy","relation","16054538","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"FMM","FMM Flug.","Memmingen Airport","Germany","Munich","47.9888241","10.2350723","Memmingen Airport, 35, Am Flughafen, Künersberg, Memmingerberg, Landkreis Unterallgäu, Bavaria, 87766, Germany","way","768339528","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"HHN","HHN Flug.","Frankfurt-Hahn Airport","Germany","Koblenz","49.9446334","7.2612103","Hahn Airport, L 193, Hahn, Kirchberg (Hunsrück), Rhein-Hunsrück-Kreis, Rhineland-Palatinate, 56850, Germany","relation","3936874","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"KRK","KRK Flug.","Kraków John Paul II International Airport","Poland","Kraków","50.0782553","19.7862538","John Paul II International Airport Kraków-Balice, 1, Kapitana Mieczysława Medweckiego, Werychów, Balice, gmina Zabierzów, Kraków County, Lesser Poland Voivodeship, 32-083, Poland","way","93759497","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"LGW","LGW Flug.","London Gatwick Airport","United Kingdom","London","51.1540772","-0.1823226","London Gatwick Airport, Charlwood Road, Charlwood, Hookwood, Mole Valley, Surrey, England, RH6 0AQ, United Kingdom","way","260720166","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"LTN","LTN Flug.","London Luton Airport","United Kingdom","London","51.8781015","-0.3664255","London Luton Airport, New Airport Way, Hart Hill, Luton, Borough of Luton, England, LU2 9LY, United Kingdom","way","110273499","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"MUC","MUC Flug.","Munich Airport","Germany","Munich","48.3539625","11.7785925","Munich International Airport, An der Goldach, Lohmühle, Attaching, Freising, Landkreis Freising, Bavaria, 85356, Germany","relation","20786018","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"MXP","MXP Flug.","Milan Malpensa Airport","Italy","Milan","45.6296273","8.7235475","Milan-Malpensa International Airport, Via Cipriano Facchinetti, Malpensa, Case Nuove, Somma Lombardo, Varese, Lombardy, 21019, Italy","relation","20397999","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"NAV","NAV Flug.","Nevşehir Kapadokya Airport","Turkey","Göreme","38.7724585","34.5273468","Nevşehir Kapadokya Airport, Gülşehir havaalanı yolu, Tuzköyü Mahallesi, Gülşehir, Nevşehir, Central Anatolia Region, 50900, Turkey","way","86096185","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"NCE","NCE Flug.|Nice Flug.","Nice Côte d'Azur Airport","France","Nice","43.6598152","7.2137460","Nice Côte d'Azur Airport, Rue Costes et Bellonte, Les Moulins, Caucade, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06206, France","way","365180154","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"NUE","NUE Flug.","Nuremberg Airport","Germany","Nürnberg","49.4982685","11.0781063","Albrecht Dürer Airport Nuremberg, Walleräcker, Flughafen, Nordöstliche Außenstadt, Kraftshof, Nuremberg, Bavaria, 90427, Germany","way","210192496","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"OSL","OSL Flug.","Oslo Airport Gardermoen","Norway","Oslo","60.1978654","11.0996754","Oslo Airport, Gardermoen, Jessheimvegen, Sand, Ullensaker, Akershus, 2067, Norway","way","425295012","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"OTP","OTP Flug.","Henri Coandă International Airport","Romania","Bucharest","44.5683390","26.1025536","Henri Coandă International Airport (OTP), Strada Ioan Slavici, Tunari, Ilfov, 077180, Romania","way","84575372","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"PMO","PMO Flug.","Falcone Borsellino Airport","Italy","Palermo","38.1765169","13.0916430","Palermo International Airport, Via Palazzolo, Cinisi, Palermo, Sicily, 90045, Italy","way","39537616","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"SAW","SAW Flug.","Istanbul Sabiha Gökçen International Airport","Turkey","Istanbul","40.8943341","29.3118058","Sabiha Gökçen International Airport, Aydınlı Yolu Caddesi, Orhanlı, Orhanlı Mahallesi, Tuzla, Istanbul, Marmara Region, 34912, Turkey","relation","8360867","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"STN","STN Flug.","London Stansted Airport","United Kingdom","London","51.8869652","0.2441929","London Stansted Airport, Belmer Road, Tye Green, Elsenham, Uttlesford, Essex, England, CM24 8UL, United Kingdom","way","495488524","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"STR","STR Flug.","Stuttgart Airport","Germany","Stuttgart","48.6884220","9.2053925","Manfred Rommel Airport Stuttgart, Langwiesen, Plieningen, Stuttgart, Baden-Württemberg, 70599, Germany","relation","3925268","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"SXB","SXB Flug.","Strasbourg Airport","France","Strasbourg","48.5388709","7.6254457","Strasbourg-Entzheim Airport, Chemin d'Exploitation, Duppigheim, Molsheim, Bas-Rhin, European Collectivity of Alsace, Grand Est, Metropolitan France, 67120, France","way","43846530","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"TRF","TRF Flug.","Sandefjord Airport Torp","Norway","Oslo","59.1846890","10.2585603","Sandefjord Airport, Torpveien, Torp, Sandefjord, Vestfold, 3239, Norway","way","1104910388","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
"VNO","VNO Flug.","Vilnius Airport","Lithuania","Vilnius","54.6349686","25.2905319","Vilnius International Airport, F. Vaitkaus g., Naujininkų seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 02188, Lithuania","relation","3536240","aeroway","aerodrome","aeroway","OpenStreetMap Nominatim","approved",""
