"canonical_city","country","reference_point","geocode_query","candidate_latitude","candidate_longitude","candidate_label","osm_type","osm_id","category","result_type","address_type","source","review_status","notes"
"Aachen","Germany","Aachen Hbf","Aachen Hbf, Aachen, Germany","50.7677663","6.0913818","Aachen Central Train Station, 2a, Bahnhofstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Aachen (district), North Rhine-Westphalia, 52064, Germany","node","3070631211","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Amsterdam","Netherlands","Amsterdam Centraal","Amsterdam Centraal, Amsterdam, Netherlands","52.3789010","4.9005805","Amsterdam Central Station, Middentunnel, Centrum, Amsterdam, North Holland, Netherlands, 1012 AB, Netherlands","node","4290854847","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Andorra","Andorra","Andorra la Vella Bus Station","Estació Nacional d'Autobusos, Andorra la Vella, Andorra","42.5037286","1.5199166","5556 Estació Nacional d'Autobusos, Avinguda de Tarragona, Centre històric, La Comella, Andorra la Vella, AD500, Andorra","node","5333957921","highway","bus_stop","highway","OpenStreetMap Nominatim","approved",""
"Bad Camberg","Germany","Bad Camberg Bf.","Bad Camberg railway station, Germany","50.2964521","8.2550751","Bad Camberg, Caspar-Hofmann-Platz, Bad Camberg-Kernstadt, Bad Camberg, Landkreis Limburg-Weilburg, Hesse, 65520, Germany","node","4314401196","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Baden-Baden","Germany","Baden-Baden","Baden-Baden railway station, Germany","48.7904421","8.1910627","Baden-Baden, B 3, Weststadt, Oos, Baden-Baden, Baden-Württemberg, 76532, Germany","node","2931245709","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Bamberg","Germany","Bamberg","Bahnhof Bamberg, Germany","49.9006357","10.8997336","Bamberg, Ludwigstraße, Gärtnerstadt, Bamberg, Bavaria, 96052, Germany","node","2835627177","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Barcelona","Spain","Barcelona Sants","Barcelona Sants, Barcelona, Spain","41.3790068","2.1400042","Barcelona - Sants, 1-7, Plaça dels Països Catalans, Sants, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08014, Spain","node","2158044594","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Berlin","Germany","Berlin Hbf","Berlin Hbf, Berlin, Germany","52.5246361","13.3698610","Berlin Hauptbahnhof (tief), 1, Europaplatz, Europacity, Moabit, Mitte, Berlin, 10557, Germany","node","2459919675","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Berchtesgaden","Germany","Berchtesgaden Hbf","Berchtesgaden Hbf, Berchtesgaden, Germany","47.6267170","12.9997241","Berchtesgaden Hauptbahnhof, Bahnhofplatz, Untersalzberg II, Mitterbach, Berchtesgaden, Landkreis Berchtesgadener Land, Bavaria, 83471, Germany","node","3261599953","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Bochum","Germany","Bochum Hbf","Bochum Hbf, Bochum, Germany","51.4785335","7.2232341","Bochum Hauptbahnhof, Kurt-Schumacher-Platz, Gerberviertel, Mosaikviertel, Innenstadt, Bochum-Mitte, Bochum, North Rhine-Westphalia, 44787, Germany","node","1578683190","railway","station","railway","OpenStreetMap Nominatim","approved",""
