"country","country_slug","capital_city","marker_basis","is_microstate","include_in_mvp","candidate_latitude","candidate_longitude","candidate_label","osm_type","osm_id","source","inclusion_status","geocode_review_status","notes"
"Andorra","andorra","Andorra la Vella","capital_city","true","true","42.4979185","1.5032264","Andorra la Vella, AD500, Andorra","relation","2804753","OpenStreetMap Nominatim","approved","approved",""
"Austria","austria","Vienna","capital_city","false","true","48.2083537","16.3725042","Vienna, Austria","relation","109166","OpenStreetMap Nominatim","approved","approved",""
"Belgium","belgium","Brussels","capital_city","false","true","50.8467372","4.3524930","Brussels, Brussels-Capital, Belgium","relation","58274","OpenStreetMap Nominatim","approved","approved",""
"Czechia","czechia","Prague","capital_city","false","true","50.0874654","14.4212535","Prague, Czechia","relation","435514","OpenStreetMap Nominatim","approved","approved",""
"France","france","Paris","capital_city","false","true","48.8588897","2.3200410","Paris, Ile-de-France, Metropolitan France, France","relation","7444","OpenStreetMap Nominatim","approved","approved",""
"Germany","germany","Berlin","capital_city","false","true","52.5173885","13.3951309","Berlin, Germany","relation","62422","OpenStreetMap Nominatim","approved","approved",""
"Hungary","hungary","Budapest","capital_city","false","true","47.4818490","19.1449053","Budapest, Central Hungary, Hungary","relation","37244","OpenStreetMap Nominatim","approved","approved",""
"Ireland","ireland","Dublin","capital_city","false","true","53.3493795","-6.2605593","Dublin, County Dublin, Leinster, Ireland","relation","1109531","OpenStreetMap Nominatim","approved","approved",""
"Italy","italy","Rome","owner_selected_city_reference_point","false","true","45.4858786","9.2042617","Milano Centrale, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Rodano, Milan, Lombardy, 20124, Italy","node","6067258870","OpenStreetMap Nominatim","approved","approved","Owner-selected Milan reference point avoids overlap with Vatican City; Rome remains the capital"
"Lithuania","lithuania","Vilnius","capital_city","false","true","54.6870458","25.2829111","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","relation","1529146","OpenStreetMap Nominatim","approved","approved",""
"Monaco","monaco","Monaco","capital_city","true","true","43.7309697","7.4248152","Monaco","relation","2220322","OpenStreetMap Nominatim","approved","approved",""
"Netherlands","netherlands","Amsterdam","capital_city","false","true","52.3730796","4.8924534","Amsterdam, North Holland, Netherlands","relation","271110","OpenStreetMap Nominatim","approved","approved",""
"North Macedonia","north-macedonia","Skopje","capital_city","false","true","41.9962164","21.4318935","Skopje, City of Skopje, North Macedonia","relation","6966465","OpenStreetMap Nominatim","approved","approved",""
"Norway","norway","Oslo","capital_city","false","true","59.9133301","10.7389701","Oslo, Norway","relation","406091","OpenStreetMap Nominatim","approved","approved",""
"Poland","poland","Warsaw","capital_city","false","true","52.2333742","21.0711489","Warsaw, Masovian Voivodeship, Poland","relation","336074","OpenStreetMap Nominatim","approved","approved",""
"Romania","romania","Bucharest","capital_city","false","true","44.4361414","26.1026840","Bucharest, Romania","relation","377733","OpenStreetMap Nominatim","approved","approved",""
"Spain","spain","Madrid","capital_city","false","true","40.4167820","-3.7035070","Madrid, Community of Madrid, Spain","relation","5326784","OpenStreetMap Nominatim","approved","approved",""
"Turkey","turkey","Ankara","capital_city","false","true","39.9207759","32.8540497","Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey","node","25869410","OpenStreetMap Nominatim","approved","approved",""
"United Kingdom","united-kingdom","London","capital_city","false","true","51.5074456","-0.1277653","Greater London, England, United Kingdom","relation","175342","OpenStreetMap Nominatim","approved","approved",""
"Vatican City","vatican-city","Vatican City","capital_city","true","true","41.9034912","12.4528349","Vatican City, 00120, Vatican City","node","424311883","OpenStreetMap Nominatim","approved","approved","Owner-approved MVP Country; no Segment required"
