"raw_location","source_contexts","occurrence_count","location_kind","airport_code","canonical_city","country","canonical_reference_point","mapping_basis","confidence","review_status","notes"
"Aachen Hbf.","transit_point","1","station_or_terminal","","Aachen","Germany","Aachen Hbf","station_suffix_removed","high","approved",""
"Amsterdam Central","destination","1","station_or_terminal","","Amsterdam","Netherlands","Amsterdam Centraal","explicit_alias_rule","high","approved",""
"Amsterdam Sloterdijk","origin","1","city_or_place","","Amsterdam","Netherlands","Amsterdam Centraal","explicit_alias_rule","high","approved",""
"Andorra","destination|origin","2","city_or_place","","Andorra","Andorra","Andorra la Vella Bus Station","canonical_name_match","high","approved",""
"ASR Flug.","destination","1","airport","ASR","Göreme","Turkey","Göreme Otobüs Terminali","airport_code","high","approved","Owner-confirmed airport-to-domain-City mapping"
"Bad Camberg Bf.","transit_point","1","station_or_terminal","","Bad Camberg","Germany","Bad Camberg Bf.","reference_point_match","high","approved",""
"Baden-Baden Hbf.","transit_point","1","station_or_terminal","","Baden-Baden","Germany","Baden-Baden","explicit_alias_rule","high","approved",""
"Bamberg Hbf.","transit_point","1","station_or_terminal","","Bamberg","Germany","Bamberg","explicit_alias_rule","high","approved",""
"Barcelona","destination|origin","2","city_or_place","","Barcelona","Spain","Barcelona Sants","canonical_name_match","high","approved",""
"BBU Flug.","destination","1","airport","BBU","Bucharest","Romania","București Nord","airport_code","medium","approved",""
"BCN Flug.","destination|origin","2","airport","BCN","Barcelona","Spain","Barcelona Sants","airport_code","medium","approved",""
"BCN Nord","destination|origin","2","city_or_place","","Barcelona","Spain","Barcelona Sants","explicit_alias_rule","high","approved",""
"BER Flug.","origin","1","airport","BER","Berlin","Germany","Berlin Hbf","airport_code","medium","approved",""
"Berchtesgaden","transit_point","1","transit_place","","Berchtesgaden","Germany","Berchtesgaden Hbf","canonical_name_match","high","approved",""
"Berlin Hbf.","destination|origin","3","station_or_terminal","","Berlin","Germany","Berlin Hbf","station_suffix_removed","high","approved",""
"BGY Flug.","destination","1","airport","BGY","Milan","Italy","Milano Centrale","airport_code","medium","approved",""
"Bochum Hbf.","transit_point","1","station_or_terminal","","Bochum","Germany","Bochum Hbf","station_suffix_removed","high","approved",""
"Bremen Hbf.","destination|origin","2","station_or_terminal","","Bremen","Germany","Bremen Hbf","station_suffix_removed","high","approved",""
"Brugge","destination|origin","2","city_or_place","","Brugge","Belgium","Brugge","canonical_name_match","high","approved",""
"Brussel","destination|origin","2","city_or_place","","Brussels","Belgium","Bruxelles-Midi / Brussel-Zuid","explicit_alias_rule","high","approved",""
"BUD Flug.","destination","1","airport","BUD","Budapest","Hungary","Budapest-Keleti","airport_code","medium","approved",""
"Budapest","origin","1","city_or_place","","Budapest","Hungary","Budapest-Keleti","canonical_name_match","high","approved",""
"CIA Flug.","destination","1","airport","CIA","Rome","Italy","Roma Termini","airport_code","medium","approved",""
"Colmar Hbf.","destination|origin","2","station_or_terminal","","Colmar","France","Gare de Colmar","explicit_alias_rule","high","approved",""
"Den Haag","destination|origin","2","city_or_place","","Den Haag","Netherlands","Den Haag Centraal","canonical_name_match","high","approved",""
"Donaueschingen","transit_point","1","transit_place","","Donaueschingen","Germany","Donaueschingen","canonical_name_match","high","approved",""
"Dortmund Hbf.","transit_point","1","station_or_terminal","","Dortmund","Germany","Dortmund Hbf","station_suffix_removed","high","approved",""
"Dresden Hbf.","destination|origin","2","station_or_terminal","","Dresden","Germany","Dresden Hbf","station_suffix_removed","high","approved",""
"DUB Flug.","origin","1","airport","DUB","Dublin","Ireland","Dublin Connolly","airport_code","medium","approved",""
"DUB. Flug.","destination","1","airport","DUB","Dublin","Ireland","Dublin Connolly","airport_code","medium","approved",""
"Duisburg Hbf.","transit_point","1","station_or_terminal","","Duisburg","Germany","Duisburg Hbf","station_suffix_removed","high","approved",""
"Düsseldorf","destination","1","city_or_place","","Düsseldorf","Germany","Düsseldorf Hbf","canonical_name_match","high","approved",""
"Erfurt Hbf.","transit_point","1","station_or_terminal","","Erfurt","Germany","Erfurt Hbf","station_suffix_removed","high","approved",""
"Essen Hbf.","transit_point","1","station_or_terminal","","Essen","Germany","Essen Hbf","station_suffix_removed","high","approved",""
"FCO Flug.","origin","1","airport","FCO","Rome","Italy","Roma Termini","airport_code","medium","approved",""
"FMM Flug.","destination|origin","3","airport","FMM","Munich","Germany","München Hbf","airport_code","high","approved","Owner-confirmed airport-to-domain-City mapping"
"Frankfurt Hbf.","destination|origin","4","station_or_terminal","","Frankfurt","Germany","Frankfurt (Main) Hbf","explicit_alias_rule","high","approved",""
"Freiburg Hbf.","destination|origin","2","station_or_terminal","","Freiburg","Germany","Freiburg (Breisgau) Hbf","explicit_alias_rule","high","approved",""
"Friedrichshafen Stadt Bf.","transit_point","1","station_or_terminal","","Friedrichshafen","Germany","Friedrichshafen Stadt","explicit_alias_rule","high","approved",""
"Gengenbach","transit_point","1","transit_place","","Gengenbach","Germany","Gengenbach","canonical_name_match","high","approved",""
"Gent","destination|origin","2","city_or_place","","Gent","Belgium","Gent-Sint-Pieters","canonical_name_match","high","approved",""
"Hamburg Hbf.","destination|origin","3","station_or_terminal","","Hamburg","Germany","Hamburg Hbf","station_suffix_removed","high","approved",""
"Hamburg ZOB","destination","1","station_or_terminal","","Hamburg","Germany","Hamburg Hbf","explicit_alias_rule","high","approved",""
"Heidelberg Hbf.","destination|origin|transit_point","3","station_or_terminal","","Heidelberg","Germany","Heidelberg Hbf","station_suffix_removed","high","approved",""
"HHN Flug.","origin","1","airport","HHN","Koblenz","Germany","Koblenz Hbf","airport_code","high","approved","Owner-confirmed mapping to the last City before the airport in its Trip"
"Hof Hbf.","destination|origin","2","station_or_terminal","","Hof","Germany","Hof Hbf","station_suffix_removed","high","approved",""
"Idstein Bf.","transit_point","1","station_or_terminal","","Idstein","Germany","Idstein (Taunus)","explicit_alias_rule","high","approved",""
"Karlovy Vary","destination|origin","2","city_or_place","","Karlovy Vary","Czechia","Karlovy Vary","canonical_name_match","high","approved",""
"Karlsruhe Hbf.","destination|origin","2","station_or_terminal","","Karlsruhe","Germany","Karlsruhe Hbf","station_suffix_removed","high","approved",""
"Koblenz Hbf.","destination","1","station_or_terminal","","Koblenz","Germany","Koblenz Hbf","station_suffix_removed","high","approved",""
"Köln Hbf","transit_point","1","station_or_terminal","","Cologne","Germany","Köln Hbf","explicit_alias_rule","high","approved",""
"Königssee","destination|origin","2","city_or_place","","Königssee","Germany","Tourist-Information am Parkplatz Königssee","canonical_name_match","high","approved","Owner-approved City-like Location exception"
"KRK Flug.","destination|origin","2","airport","KRK","Kraków","Poland","Kraków Główny","airport_code","medium","approved",""
"Leipzig Hbf","transit_point","1","station_or_terminal","","Leipzig","Germany","Leipzig Hbf","explicit_alias_rule","high","approved",""
"LGW Flug.","origin","1","airport","LGW","London","United Kingdom","London Waterloo","airport_code","medium","approved",""
"Lindau-Insel","destination|origin","2","city_or_place","","Lindau","Germany","Lindau-Insel","reference_point_match","high","approved",""
