Title,Latitude,Longitude,MarkerType,CapitalCity,MarkerBasis,CandidateLabel,ReviewStatus,Source,Notes
"Country marker - Andorra","42.4979185","1.5032264","Country marker candidate","Andorra la Vella","capital_city","Andorra la Vella, AD500, Andorra","approved","OpenStreetMap Nominatim",""
"Country marker - Austria","48.2083537","16.3725042","Country marker candidate","Vienna","capital_city","Vienna, Austria","approved","OpenStreetMap Nominatim",""
"Country marker - Belgium","50.8467372","4.3524930","Country marker candidate","Brussels","capital_city","Brussels, Brussels-Capital, Belgium","approved","OpenStreetMap Nominatim",""
"Country marker - Czechia","50.0874654","14.4212535","Country marker candidate","Prague","capital_city","Prague, Czechia","approved","OpenStreetMap Nominatim",""
"Country marker - France","48.8588897","2.3200410","Country marker candidate","Paris","capital_city","Paris, Ile-de-France, Metropolitan France, France","approved","OpenStreetMap Nominatim",""
"Country marker - Germany","52.5173885","13.3951309","Country marker candidate","Berlin","capital_city","Berlin, Germany","approved","OpenStreetMap Nominatim",""
"Country marker - Hungary","47.4818490","19.1449053","Country marker candidate","Budapest","capital_city","Budapest, Central Hungary, Hungary","approved","OpenStreetMap Nominatim",""
"Country marker - Ireland","53.3493795","-6.2605593","Country marker candidate","Dublin","capital_city","Dublin, County Dublin, Leinster, Ireland","approved","OpenStreetMap Nominatim",""
"Country marker - Italy","45.4858786","9.2042617","Country marker candidate","Rome","owner_selected_city_reference_point","Milano Centrale, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Rodano, Milan, Lombardy, 20124, Italy","approved","OpenStreetMap Nominatim","Owner-selected Milan reference point avoids overlap with Vatican City; Rome remains the capital"
"Country marker - Lithuania","54.6870458","25.2829111","Country marker candidate","Vilnius","capital_city","Vilnius, Vilnius city municipality, Vilnius County, Lithuania","approved","OpenStreetMap Nominatim",""
"Country marker - Monaco","43.7309697","7.4248152","Country marker candidate","Monaco","capital_city","Monaco","approved","OpenStreetMap Nominatim",""
"Country marker - Netherlands","52.3730796","4.8924534","Country marker candidate","Amsterdam","capital_city","Amsterdam, North Holland, Netherlands","approved","OpenStreetMap Nominatim",""
"Country marker - North Macedonia","41.9962164","21.4318935","Country marker candidate","Skopje","capital_city","Skopje, City of Skopje, North Macedonia","approved","OpenStreetMap Nominatim",""
"Country marker - Norway","59.9133301","10.7389701","Country marker candidate","Oslo","capital_city","Oslo, Norway","approved","OpenStreetMap Nominatim",""
"Country marker - Poland","52.2333742","21.0711489","Country marker candidate","Warsaw","capital_city","Warsaw, Masovian Voivodeship, Poland","approved","OpenStreetMap Nominatim",""
"Country marker - Romania","44.4361414","26.1026840","Country marker candidate","Bucharest","capital_city","Bucharest, Romania","approved","OpenStreetMap Nominatim",""
"Country marker - Spain","40.4167820","-3.7035070","Country marker candidate","Madrid","capital_city","Madrid, Community of Madrid, Spain","approved","OpenStreetMap Nominatim",""
"Country marker - Turkey","39.9207759","32.8540497","Country marker candidate","Ankara","capital_city","Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey","approved","OpenStreetMap Nominatim",""
"Country marker - United Kingdom","51.5074456","-0.1277653","Country marker candidate","London","capital_city","Greater London, England, United Kingdom","approved","OpenStreetMap Nominatim",""
"Country marker - Vatican City","41.9034912","12.4528349","Country marker candidate","Vatican City","capital_city","Vatican City, 00120, Vatican City","approved","OpenStreetMap Nominatim","Owner-approved MVP Country; no Segment required"
