Title,Latitude,Longitude,MarkerType,Country,ReferencePoint,CandidateLabel,ReviewStatus,Source,Notes
"City GPS - Aachen","50.7677663","6.0913818","City GPS candidate","Germany","Aachen Hbf","Aachen Central Train Station, 2a, Bahnhofstraße, Kaiserplatz, Burtscheid, Aachen-Mitte, Aachen, Aachen (district), North Rhine-Westphalia, 52064, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Amsterdam","52.3789010","4.9005805","City GPS candidate","Netherlands","Amsterdam Centraal","Amsterdam Central Station, Middentunnel, Centrum, Amsterdam, North Holland, Netherlands, 1012 AB, Netherlands","approved","OpenStreetMap Nominatim",""
"City GPS - Andorra","42.5037286","1.5199166","City GPS candidate","Andorra","Andorra la Vella Bus Station","5556 Estació Nacional d'Autobusos, Avinguda de Tarragona, Centre històric, La Comella, Andorra la Vella, AD500, Andorra","approved","OpenStreetMap Nominatim",""
"City GPS - Bad Camberg","50.2964521","8.2550751","City GPS candidate","Germany","Bad Camberg Bf.","Bad Camberg, Caspar-Hofmann-Platz, Bad Camberg-Kernstadt, Bad Camberg, Landkreis Limburg-Weilburg, Hesse, 65520, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Baden-Baden","48.7904421","8.1910627","City GPS candidate","Germany","Baden-Baden","Baden-Baden, B 3, Weststadt, Oos, Baden-Baden, Baden-Württemberg, 76532, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Bamberg","49.9006357","10.8997336","City GPS candidate","Germany","Bamberg","Bamberg, Ludwigstraße, Gärtnerstadt, Bamberg, Bavaria, 96052, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Barcelona","41.3790068","2.1400042","City GPS candidate","Spain","Barcelona Sants","Barcelona - Sants, 1-7, Plaça dels Països Catalans, Sants, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08014, Spain","approved","OpenStreetMap Nominatim",""
"City GPS - Berlin","52.5246361","13.3698610","City GPS candidate","Germany","Berlin Hbf","Berlin Hauptbahnhof (tief), 1, Europaplatz, Europacity, Moabit, Mitte, Berlin, 10557, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Berchtesgaden","47.6267170","12.9997241","City GPS candidate","Germany","Berchtesgaden Hbf","Berchtesgaden Hauptbahnhof, Bahnhofplatz, Untersalzberg II, Mitterbach, Berchtesgaden, Landkreis Berchtesgadener Land, Bavaria, 83471, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Bochum","51.4785335","7.2232341","City GPS candidate","Germany","Bochum Hbf","Bochum Hauptbahnhof, Kurt-Schumacher-Platz, Gerberviertel, Mosaikviertel, Innenstadt, Bochum-Mitte, Bochum, North Rhine-Westphalia, 44787, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Bremen","53.0831456","8.8135421","City GPS candidate","Germany","Bremen Hbf","Bremen Hauptbahnhof, 15, 16, Bahnhofsplatz, Bahnhofsvorstadt, Mitte, Bremen-Mitte, Bremen, 28195, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Brugge","51.1974079","3.2175232","City GPS candidate","Belgium","Brugge","Station Brugge, Hendrik Brugmansstraat, Sint-Michiels, Bruges, Brugge, West Flanders, Flanders, 8200, Belgium","approved","OpenStreetMap Nominatim",""
"City GPS - Brussels","50.8357755","4.3360541","City GPS candidate","Belgium","Bruxelles-Midi / Brussel-Zuid","Brussels-Midi, Galerie M - M-galerij, Saint-Gilles - Sint-Gillis, Brussels-Capital, 1060, Belgium","approved","OpenStreetMap Nominatim",""
"City GPS - Bucharest","44.4467388","26.0738428","City GPS candidate","Romania","București Nord","Gara de Nord, 1-3, Piața Gării de Nord, Matache, Gara de Nord, Sector 1, Bucharest, 010741, Romania","approved","OpenStreetMap Nominatim",""
"City GPS - Budapest","47.5004120","19.0839800","City GPS candidate","Hungary","Budapest-Keleti","Budapest Keleti Station, 1, Baross tér, Kerepesdűlő, 8th district, Budapest, Central Hungary, 1087, Hungary","approved","OpenStreetMap Nominatim",""
