Title,Latitude,Longitude,MarkerType,AssociatedCity,Country,CandidateLabel,ReviewStatus,Source,Notes
"Airport GPS - ASR - Kayseri Erkilet Airport","38.7734753","35.4946849","Airport GPS candidate","Göreme","Turkey","Kayseri Erkilet Airport, 338, Mustafa Kemal Paşa Bulvarı, Hilal Mahallesi, Kocasinan, Kayseri, Central Anatolia Region, 38100, Turkey","approved","OpenStreetMap Nominatim",""
"Airport GPS - BBU - Aurel Vlaicu International Airport","44.5002921","26.0902283","Airport GPS candidate","Bucharest","Romania","Aurel Vlaicu International Airport, 40, Șoseaua București-Ploiești, Băneasa, Sector 1, Bucharest, 013695, Romania","approved","OpenStreetMap Nominatim",""
"Airport GPS - BCN - Barcelona-El Prat Airport","41.2969440","2.0790474","Airport GPS candidate","Barcelona","Spain","Barcelona El Prat Josep Tarradellas Airport, Carrer d'Antoine de Saint-Exupéry, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain","approved","OpenStreetMap Nominatim",""
"Airport GPS - BER - Berlin Brandenburg Airport","52.3657974","13.4888906","Airport GPS candidate","Berlin","Germany","Berlin Brandenburg Airport ""Willy Brandt"", Melli-Beese-Ring, Schönefeld, Schenkendorf-Krummensee, Dahme-Spreewald, Brandenburg, 12529, Germany","approved","OpenStreetMap Nominatim",""
"Airport GPS - BGY - Milan Bergamo Airport","45.6708936","9.6987542","Airport GPS candidate","Milan","Italy","Bergamo Orio al Serio Airport, 13, Via Aeroporto, Betosca, Orio al Serio, Bergamo, Lombardy, 24050, Italy","approved","OpenStreetMap Nominatim",""
"Airport GPS - BUD - Budapest Ferenc Liszt International Airport","47.4352730","19.2535106","Airport GPS candidate","Budapest","Hungary","Budapest Liszt Ferenc International Airport, Nagy-Hangács köz, Nagyhangács, Rákoshegy, 17th district, Budapest, Central Hungary, 1174, Hungary","approved","OpenStreetMap Nominatim",""
"Airport GPS - CIA - Rome Ciampino Airport","41.7995470","12.5912711","Airport GPS candidate","Rome","Italy","Rome Ciampino Airport, Via dei Laghi, Ciampino, Roma Capitale, Lazio, 00043, Italy","approved","OpenStreetMap Nominatim",""
"Airport GPS - DUB - Dublin Airport","53.4282916","-6.2472741","Airport GPS candidate","Dublin","Ireland","Dublin Airport, Swords Road, Airport ED, Dublin, Fingal, County Dublin, Leinster, K67 P957, Ireland","approved","OpenStreetMap Nominatim",""
"Airport GPS - FCO - Leonardo da Vinci Fiumicino Airport","41.8153911","12.2264848","Airport GPS candidate","Rome","Italy","Rome–Fiumicino Airport, Via Leonardo da Vinci, Fiumicino, Roma Capitale, Lazio, 00054, Italy","approved","OpenStreetMap Nominatim",""
"Airport GPS - FMM - Memmingen Airport","47.9888241","10.2350723","Airport GPS candidate","Munich","Germany","Memmingen Airport, 35, Am Flughafen, Künersberg, Memmingerberg, Landkreis Unterallgäu, Bavaria, 87766, Germany","approved","OpenStreetMap Nominatim",""
"Airport GPS - HHN - Frankfurt-Hahn Airport","49.9446334","7.2612103","Airport GPS candidate","Koblenz","Germany","Hahn Airport, L 193, Hahn, Kirchberg (Hunsrück), Rhein-Hunsrück-Kreis, Rhineland-Palatinate, 56850, Germany","approved","OpenStreetMap Nominatim",""
"Airport GPS - KRK - Kraków John Paul II International Airport","50.0782553","19.7862538","Airport GPS candidate","Kraków","Poland","John Paul II International Airport Kraków-Balice, 1, Kapitana Mieczysława Medweckiego, Werychów, Balice, gmina Zabierzów, Kraków County, Lesser Poland Voivodeship, 32-083, Poland","approved","OpenStreetMap Nominatim",""
"Airport GPS - LGW - London Gatwick Airport","51.1540772","-0.1823226","Airport GPS candidate","London","United Kingdom","London Gatwick Airport, Charlwood Road, Charlwood, Hookwood, Mole Valley, Surrey, England, RH6 0AQ, United Kingdom","approved","OpenStreetMap Nominatim",""
"Airport GPS - LTN - London Luton Airport","51.8781015","-0.3664255","Airport GPS candidate","London","United Kingdom","London Luton Airport, New Airport Way, Hart Hill, Luton, Borough of Luton, England, LU2 9LY, United Kingdom","approved","OpenStreetMap Nominatim",""
"Airport GPS - MUC - Munich Airport","48.3539625","11.7785925","Airport GPS candidate","Munich","Germany","Munich International Airport, An der Goldach, Lohmühle, Attaching, Freising, Landkreis Freising, Bavaria, 85356, Germany","approved","OpenStreetMap Nominatim",""
"Airport GPS - MXP - Milan Malpensa Airport","45.6296273","8.7235475","Airport GPS candidate","Milan","Italy","Milan-Malpensa International Airport, Via Cipriano Facchinetti, Malpensa, Case Nuove, Somma Lombardo, Varese, Lombardy, 21019, Italy","approved","OpenStreetMap Nominatim",""
"Airport GPS - NAV - Nevşehir Kapadokya Airport","38.7724585","34.5273468","Airport GPS candidate","Göreme","Turkey","Nevşehir Kapadokya Airport, Gülşehir havaalanı yolu, Tuzköyü Mahallesi, Gülşehir, Nevşehir, Central Anatolia Region, 50900, Turkey","approved","OpenStreetMap Nominatim",""
"Airport GPS - NCE - Nice Côte d'Azur Airport","43.6598152","7.2137460","Airport GPS candidate","Nice","France","Nice Côte d'Azur Airport, Rue Costes et Bellonte, Les Moulins, Caucade, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06206, France","approved","OpenStreetMap Nominatim",""
