Title,Latitude,Longitude,MarkerType,RawLocation,CanonicalTarget,CanonicalCity,Country,MappingBasis,Confidence,ReviewStatus,Notes
"Alias - Aachen Hbf. to Aachen","50.7677663","6.0913818","Location alias mapping","Aachen Hbf.","Aachen","Aachen","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Amsterdam Central to Amsterdam","52.3789010","4.9005805","Location alias mapping","Amsterdam Central","Amsterdam","Amsterdam","Netherlands","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Amsterdam Sloterdijk to Amsterdam","52.3789010","4.9005805","Location alias mapping","Amsterdam Sloterdijk","Amsterdam","Amsterdam","Netherlands","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Andorra to Andorra","42.5037286","1.5199166","Location alias mapping","Andorra","Andorra","Andorra","Andorra","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - ASR Flug. to ASR / Kayseri Erkilet Airport","38.7734753","35.4946849","Location alias mapping","ASR Flug.","ASR / Kayseri Erkilet Airport","Göreme","Turkey","airport_code","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker. Owner-confirmed airport-to-domain-City mapping"
"Alias - Bad Camberg Bf. to Bad Camberg","50.2964521","8.2550751","Location alias mapping","Bad Camberg Bf.","Bad Camberg","Bad Camberg","Germany","reference_point_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Baden-Baden Hbf. to Baden-Baden","48.7904421","8.1910627","Location alias mapping","Baden-Baden Hbf.","Baden-Baden","Baden-Baden","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Bamberg Hbf. to Bamberg","49.9006357","10.8997336","Location alias mapping","Bamberg Hbf.","Bamberg","Bamberg","Germany","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Barcelona to Barcelona","41.3790068","2.1400042","Location alias mapping","Barcelona","Barcelona","Barcelona","Spain","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BBU Flug. to BBU / Aurel Vlaicu International Airport","44.5002921","26.0902283","Location alias mapping","BBU Flug.","BBU / Aurel Vlaicu International Airport","Bucharest","Romania","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BCN Flug. to BCN / Barcelona-El Prat Airport","41.2969440","2.0790474","Location alias mapping","BCN Flug.","BCN / Barcelona-El Prat Airport","Barcelona","Spain","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BCN Nord to Barcelona","41.3790068","2.1400042","Location alias mapping","BCN Nord","Barcelona","Barcelona","Spain","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BER Flug. to BER / Berlin Brandenburg Airport","52.3657974","13.4888906","Location alias mapping","BER Flug.","BER / Berlin Brandenburg Airport","Berlin","Germany","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Berchtesgaden to Berchtesgaden","47.6267170","12.9997241","Location alias mapping","Berchtesgaden","Berchtesgaden","Berchtesgaden","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Berlin Hbf. to Berlin","52.5246361","13.3698610","Location alias mapping","Berlin Hbf.","Berlin","Berlin","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BGY Flug. to BGY / Milan Bergamo Airport","45.6708936","9.6987542","Location alias mapping","BGY Flug.","BGY / Milan Bergamo Airport","Milan","Italy","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Bochum Hbf. to Bochum","51.4785335","7.2232341","Location alias mapping","Bochum Hbf.","Bochum","Bochum","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Bremen Hbf. to Bremen","53.0831456","8.8135421","Location alias mapping","Bremen Hbf.","Bremen","Bremen","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Brugge to Brugge","51.1974079","3.2175232","Location alias mapping","Brugge","Brugge","Brugge","Belgium","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Brussel to Brussels","50.8357755","4.3360541","Location alias mapping","Brussel","Brussels","Brussels","Belgium","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - BUD Flug. to BUD / Budapest Ferenc Liszt International Airport","47.4352730","19.2535106","Location alias mapping","BUD Flug.","BUD / Budapest Ferenc Liszt International Airport","Budapest","Hungary","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Budapest to Budapest","47.5004120","19.0839800","Location alias mapping","Budapest","Budapest","Budapest","Hungary","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - CIA Flug. to CIA / Rome Ciampino Airport","41.7995470","12.5912711","Location alias mapping","CIA Flug.","CIA / Rome Ciampino Airport","Rome","Italy","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Colmar Hbf. to Colmar","48.0724689","7.3469271","Location alias mapping","Colmar Hbf.","Colmar","Colmar","France","explicit_alias_rule","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Den Haag to Den Haag","52.0807633","4.3255311","Location alias mapping","Den Haag","Den Haag","Den Haag","Netherlands","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Donaueschingen to Donaueschingen","47.9479723","8.4987559","Location alias mapping","Donaueschingen","Donaueschingen","Donaueschingen","Germany","canonical_name_match","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Dortmund Hbf. to Dortmund","51.5178935","7.4592831","Location alias mapping","Dortmund Hbf.","Dortmund","Dortmund","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Dresden Hbf. to Dresden","51.0402452","13.7320768","Location alias mapping","Dresden Hbf.","Dresden","Dresden","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - DUB Flug. to DUB / Dublin Airport","53.4282916","-6.2472741","Location alias mapping","DUB Flug.","DUB / Dublin Airport","Dublin","Ireland","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - DUB. Flug. to DUB / Dublin Airport","53.4282916","-6.2472741","Location alias mapping","DUB. Flug.","DUB / Dublin Airport","Dublin","Ireland","airport_code","medium","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
"Alias - Duisburg Hbf. to Duisburg","51.4296701","6.7761771","Location alias mapping","Duisburg Hbf.","Duisburg","Duisburg","Germany","station_suffix_removed","high","approved","Displayed at the canonical target coordinate; this is a relationship review marker."
